,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WAP,hasGaps,Count
242,7/23/2018 13:16,9415.25,9415.05,9405.95,9411.50,160,9413.765,0,37
243,7/23/2018 13:17,9411.75,9415.10,9411.35,9415.10,85,9413.55,0,32
244,7/23/2018 13:18,9415.30,9415.40,9405.95,9406.20,136,9410.43,0,44
245,7/23/2018 13:19,9406.75,9411.05,9406.05,9410.70,67,9409.01,0,27
246,7/23/2018 13:20,9406.35,9411.05,9405.95,9410.05,103,9409.605,0,25
247,7/23/2018 13:21,9410.25,9411.35,9409.90,9411.25,81,9410.75,0,28
248,7/23/2018 13:22,9411.55,9411.40,9407.65,9410.05,142,9410.44,0,38
249,7/23/2018 13:23,9408.25,9416.05,9407.90,9415.85,112,9411.145,0,38
250,7/23/2018 13:24,9418.20,9421.05,9415.55,9415.70,182,9418.855,0,45
251,7/23/2018 13:25,9412.20,9418.10,9410.05,9411.45,74,9414.505,0,30
252,7/23/2018 13:26,9412.25,9413.00,9406.85,9407.00,129,9411.265,0,36
253,7/23/2018 13:27,9407.10,9413.80,9406.70,9413.80,90,9411.01,0,33
254,7/23/2018 13:28,9413.60,9418.15,9413.20,9418.15,163,9417.03,0,41
255,7/23/2018 13:29,9418.30,9421.05,9417.95,9419.55,130,9418.84,0,43
256,7/23/2018 13:30,9419.65,9420.55,9415.20,9415.55,105,9419.35,0,35
257,7/23/2018 13:31,9419.70,9420.05,9414.90,9416.65,104,9418.76,0,29
258,7/23/2018 13:32,9415.25,9415.05,9408.05,9409.55,212,9411.52,0,36
259,7/23/2018 13:33,9409.75,9416.05,9409.40,9414.05,125,9413.645,0,34
260,7/23/2018 13:34,9414.25,9421.05,9413.90,9420.05,198,9418.495,0,45
261,7/23/2018 13:35,9416.20,9421.05,9414.45,9421.05,93,9419.225,0,37
262,7/23/2018 13:36,9418.90,9421.05,9418.55,9419.35,125,9419.94,0,47
263,7/23/2018 13:37,9419.55,9421.05,9419.20,9420.30,114,9420.28,0,27
264,7/23/2018 13:38,9420.50,9421.05,9419.20,9420.55,86,9420.085,0,36
265,7/23/2018 13:39,9420.20,9421.05,9418.10,9420.55,116,9420.465,0,33
266,7/23/2018 13:40,9418.80,9422.05,9418.45,9419.00,124,9419.76,0,32
267,7/23/2018 13:41,9422.20,9422.05,9419.15,9420.35,91,9420.67,0,34
268,7/23/2018 13:42,9420.55,9422.05,9419.70,9420.00,145,9420.415,0,47
269,7/23/2018 13:43,9420.20,9422.00,9417.90,9418.55,170,9419.635,0,41
270,7/23/2018 13:44,9418.25,9422.05,9415.05,9418.95,89,9419.945,0,41
271,7/23/2018 13:45,9421.15,9426.85,9418.80,9419.30,298,9422.405,0,37
272,7/23/2018 13:46,9422.25,9428.80,9409.90,9411.15,330,9416.115,0,51
273,7/23/2018 13:47,9413.90,9420.05,9413.55,9416.10,127,9415.025,0,37
274,7/23/2018 13:48,9416.30,9420.05,9415.95,9418.90,63,9418.57,0,23
275,7/23/2018 13:49,9419.10,9421.05,9416.35,9416.50,148,9420.155,0,37
276,7/23/2018 13:50,9416.20,9421.50,9413.90,9420.05,57,9417.535,0,30
277,7/23/2018 13:51,9420.25,9420.05,9415.90,9419.00,193,9418.21,0,42
278,7/23/2018 13:52,9416.40,9420.05,9412.70,9420.05,116,9417.035,0,42
279,7/23/2018 13:53,9420.25,9420.05,9412.90,9420.00,185,9417.43,0,45
280,7/23/2018 13:54,9420.20,9420.05,9414.45,9418.40,86,9417.895,0,37
281,7/23/2018 13:55,9418.80,9420.05,9411.95,9419.85,91,9415,0,36
282,7/23/2018 13:56,9420.25,9420.05,9411.95,9414.00,105,9416.985,0,42
283,7/23/2018 13:57,9414.20,9420.05,9412.20,9417.00,97,9418.175,0,29
284,7/23/2018 13:58,9415.05,9420.05,9412.90,9419.60,85,9418.53,0,37
285,7/23/2018 13:59,9419.80,9424.00,9410.35,9410.50,91,9416.025,0,38
286,7/23/2018 14:00,9410.70,9413.05,9409.95,9410.60,157,9410.725,0,38
287,7/23/2018 14:01,9410.80,9411.05,9400.05,9407.30,252,9405.31,0,53
288,7/23/2018 14:02,9407.80,9420.10,9407.45,9420.10,292,9413.965,0,43
289,7/23/2018 14:03,9421.60,9424.05,9420.15,9424.05,223,9422.855,0,34
290,7/23/2018 14:04,9424.20,9449.05,9422.70,9449.05,253,9432.95,0,38
291,7/23/2018 14:05,9449.25,9465.05,9448.90,9460.05,666,9456.97,0,51
292,7/23/2018 14:06,9458.95,9460.05,9449.90,9454.05,410,9454.025,0,41
293,7/23/2018 14:07,9450.85,9455.05,9447.90,9450.75,202,9450.385,0,35
294,7/23/2018 14:08,9449.25,9458.10,9447.40,9455.05,367,9453.595,0,36
295,7/23/2018 14:09,9454.35,9464.50,9453.95,9462.20,551,9461.185,0,40
296,7/23/2018 14:10,9462.40,9494.05,9461.90,9494.05,783,9475.255,0,53
297,7/23/2018 14:11,9494.25,9519.00,9490.45,9517.05,1266,9503.31,0,54
298,7/23/2018 14:12,9514.25,9550.05,9513.90,9548.10,570,9528.16,0,58
299,7/23/2018 14:13,9549.00,9562.00,9533.95,9536.10,565,9547.29,0,57
300,7/23/2018 14:14,9533.95,9546.05,9510.95,9529.00,512,9532.7,0,54
301,7/23/2018 14:15,9525.25,9548.05,9524.90,9546.00,563,9538.775,0,50
302,7/23/2018 14:16,9545.25,9551.10,9535.95,9540.05,653,9544.27,0,46
303,7/23/2018 14:17,9539.10,9555.05,9537.45,9550.05,491,9547.625,0,49
304,7/23/2018 14:18,9549.25,9570.05,9548.40,9570.05,325,9555.41,0,51
305,7/23/2018 14:19,9570.25,9589.30,9561.35,9577.50,456,9574.92,0,57
306,7/23/2018 14:20,9580.25,9594.85,9579.90,9589.30,868,9589.645,0,58
307,7/23/2018 14:21,9582.80,9624.85,9580.85,9624.85,795,9599.64,0,58
308,7/23/2018 14:22,9625.25,9645.05,9616.30,9640.25,413,9632.775,0,58
309,7/23/2018 14:23,9638.60,9650.05,9634.90,9647.05,482,9645.91,0,56
310,7/23/2018 14:24,9648.50,9662.00,9631.70,9647.45,506,9647.88,0,59
311,7/23/2018 14:25,9650.25,9686.00,9648.70,9682.90,601,9665.615,0,60
312,7/23/2018 14:26,9686.25,9694.55,9666.80,9694.05,607,9682.38,0,60
